Country,Adolescent_Fertility,Birth_Rate,Death_Rate,Fertility_Rate,GDP_per_capita,Life_Expectancy,Mortality_Rate,Prob_Survival_to_5
Chad,157.9144,42.172,12.104,5.747,726.1498811,55.4,64.2,0.884479046
Nigeria,105.447,37.905,11.86,5.387,2032.729709,55.244,68.9,0.884979069
Central African Republic,126.9636,35.348,12.289,4.721,475.9536099,54.991,76.5,0.886727631
Sierra Leone,110.2282,33.406,11.745,4.263,533.9911843,55.106,77.6,0.896406829
Guinea,133.365,36.364,8.452,4.7,983.3094922,61.666,58.9,0.901725411
Mali,166.8668,41.543,9.686,5.877,900.1101645,59.649,56.1,0.904259741
Benin,84.0364,36.221,8.871,4.836,1240.829464,63.003,54.5,0.910842419
"Congo, Dem. Rep.",122.6056,41.183,9.482,5.919,557.0644183,61.901,61.7,0.915901244
Niger,183.5134,46.079,8.268,6.913,571.5269922,63.212,43.5,0.917034984
Lesotho,92.578,26.808,14.246,3.141,1221.883763,56.954,62.1,0.923462987
Cote d'Ivoire,116.1584,35.74,10.053,4.649,2302.612951,58.741,53.4,0.92481792
Burkina Faso,102.0658,37.93,8.124,5.189,820.1607938,61.863,50.2,0.92482841
Angola,147.958,40.729,8.19,5.519,3289.646664,63.666,46.3,0.925984859
Cameroon,103.4938,35.386,9.266,4.572,1534.491274,60.192,46.1,0.926463842
Mauritania,69.628,33.694,7.222,4.561,1600.876469,66.292,45.7,0.92811811
Mozambique,146.2508,37.52,8.544,4.852,498.9572202,62.966,52.2,0.929255307
Liberia,135.5662,33.042,7.538,4.315,677.3221785,65.114,57.4,0.932654917
Pakistan,38.2106,28.25,6.942,3.51,1482.305667,68.109,51.9,0.933279634
Togo,88.6878,33.113,8.446,4.32,678.9556381,61.612,42.1,0.933843553
Comoros,64.0606,31.881,7.214,4.205,1415.955313,65.9,45,0.935667276
Afghanistan,65.141,32.487,6.423,4.473,524.1628809,66.026,44.6,0.938916445
Haiti,50.9536,24.349,8.534,2.935,868.3420248,65.832,44.4,0.939173818
Sudan,60.796,32.177,7.188,4.407,623.8672524,66.947,37.2,0.942972243
Burundi,54.7516,39.008,7.929,5.41,271.7520444,63.031,36.6,0.944046557
"Gambia, The",75.7058,38.535,7.887,5.219,712.5123711,63.151,32.5,0.944476902
Zambia,118.3048,36.192,6.456,4.633,1556.334482,66.447,39.4,0.945555151
Eswatini,75.3554,26.342,9.376,2.99,4145.97411,63.968,36.4,0.947190166
Ethiopia,65.0748,32.339,6.551,4.247,771.5238139,68.165,32.6,0.948622942
"Yemen, Rep.",59.1624,30.453,5.983,3.792,968.1590476,67.795,39.6,0.948813021
Tanzania,116.926,36.7,6.419,4.892,1060.994615,66.824,33.9,0.949420393
Madagascar,107.7374,32.657,6.055,4.077,527.5013261,68.301,33.5,0.949606419
Kiribati,15.4046,27.887,6.329,3.569,1698.256286,72.113,36.9,0.950791776
Malawi,132.0948,34.118,6.597,4.209,381.2589876,66.937,28.4,0.952419579
"Congo, Rep.",110.9356,32.862,6.705,4.428,2223.854479,65.703,32,0.95274049
Ghana,65.7842,29.407,7.309,3.87,2202.312164,64.852,31,0.954931557
Papua New Guinea,51.982,27.073,7.427,3.564,2720.385245,65.576,33.6,0.955115199
Zimbabwe,83.2486,30.676,7.883,3.615,1683.740577,62.598,34.8,0.955485225
Lao PDR,64.939,23.549,6.434,2.667,2542.486528,69.417,33.2,0.955833852
Uganda,116.0714,38.135,6.554,4.955,767.0977596,65.173,30.9,0.956390679
Timor-Leste,32.364,29.424,5.995,4.023,1237.102682,71.376,35.6,0.956751943
Myanmar,28.2066,17.552,8.199,2.154,1418.177623,69.874,32.8,0.956753492
Gabon,93.5644,31.611,6.833,3.969,7956.627816,68.323,28.4,0.958483994
Senegal,70.716,34.523,5.716,4.625,1465.591006,69.627,29.7,0.958659172
India,12.0708,17.857,7.234,2.222,2005.863005,70.692,29.7,0.960353434
Kenya,74.044,28.748,5.469,3.492,1707.986805,68.684,29.4,0.960915327
Namibia,61.632,28.639,8.057,3.396,5495.428836,66.18,27.9,0.962584257
Botswana,45.358,24.821,5.742,2.874,8279.601365,72.049,29.2,0.966136932
Rwanda,38.852,31.696,5.208,4.044,782.6181409,70.784,24.6,0.966523349
South Africa,67.8488,20.51,9.435,2.405,6374.028196,67.398,25.4,0.967844427
Tajikistan,57.4706,30.761,4.856,3.585,826.6215305,73.177,26.6,0.968537271
Nepal,64.399,19.887,6.361,1.917,1038.651647,71.9,24.1,0.968906343
Bangladesh,82.3128,18.184,5.529,2.036,1698.350394,74.291,24.9,0.970262468
"Micronesia, Fed. Sts.",13.2274,22.82,6.564,3.053,3568.291016,69.454,22.5,0.971640885
Bhutan,18.895,17.259,6.245,1.975,3243.231126,71.816,22.3,0.972060442
Guyana,72.8682,19.967,7.456,2.462,4979.002188,72.972,21.8,0.972985923
Dominican Republic,93.0342,19.506,6.15,2.346,8050.63044,77.196,21.7,0.973195851
Philippines,54.7592,20.546,5.873,2.576,3252.092324,75.387,19.6,0.974131346
Cambodia,50.7204,22.464,5.997,2.503,1512.12671,71.629,20.8,0.974326909
Vanuatu,48.9082,29.595,5.266,3.782,3095.702156,71.99,20.6,0.974987984
Iraq,71.7416,29.075,4.776,3.672,5834.166211,72.486,20.2,0.975159585
Guatemala,69.756,24.561,4.738,2.87,4472.892363,76.937,18.9,0.975787342
Fiji,49.1406,21.277,8.208,2.774,6266.967959,69.178,19.6,0.976899505
Indonesia,46.9052,18.072,6.465,2.311,3893.846425,73.748,18.5,0.976972997
Algeria,9.8338,24.282,4.716,3.023,4114.715061,77.938,19,0.977509141
Morocco,30.681,18.937,5.06,2.415,3222.200634,77.668,17,0.97902143
"Egypt, Arab Rep.",53.086,26.379,5.817,3.326,2549.132252,74.162,16.7,0.979360223
Azerbaijan,56.4976,14,5.8,1.73,4739.84171,75.336,17.2,0.979410231
Uzbekistan,24.2094,23.3,4.7,2.419,1529.082864,73.676,14.1,0.980538905
West Bank and Gaza,51.8828,29.282,3.461,3.643,3198.866644,75.595,15.6,0.981059492
Paraguay,70.1824,20.571,5.498,2.429,5805.675616,76.25,15.4,0.981295705
Solomon Islands,78.4116,32.439,4.252,4.403,2137.6907,74.697,15.6,0.981350541
Kyrgyz Republic,32.4414,27.1,5.2,3.3,1308.140165,75.6,15.1,0.982316196
Tonga,14.3302,24.303,7.152,3.556,4364.015561,72.763,16.3,0.9823488
Vietnam,29.1518,16.745,6.317,2.049,2566.59695,79.442,14,0.982526422
Trinidad and Tobago,29.3338,12.937,8.375,1.725,17129.91309,76.092,14.5,0.982936203
Nicaragua,83.3048,20.641,5.061,2.404,2020.547028,77.77,13,0.983694255
Honduras,71.8464,21.599,4.437,2.46,2505.776752,77.378,13.2,0.983900845
Tunisia,7.85,17.564,6.262,2.197,3438.789089,78.536,13.2,0.984454751
St. Lucia,39.8792,12,7.205,1.436,11357.88901,77.434,17.8,0.984740615
St. Vincent and the Grenadines,48.1898,14.24,9.263,1.891,7361.400962,75.007,12.6,0.984775603
Jordan,25.8414,21.979,3.864,2.761,4241.788782,76.175,12.5,0.98481828
Samoa,23.2952,24.378,5.239,3.877,4183.408032,75.325,12,0.985345185
Moldova,22.1802,10.1,11.61,1.262,4233.999556,76.074,11.1,0.985846519
Panama,81.0386,18.976,5.076,2.461,15592.57368,81.593,11.7,0.98592329
Grenada,28.1938,16.465,9.576,2.063,10485.90716,74.941,13.5,0.986065567
Mongolia,31.4384,24.131,6.316,2.895,4134.987198,73.961,12.2,0.98631537
Seychelles,61.2244,17.1,8.5,2.41,16390.82488,77.4,11.4,0.986609757
Peru,55.9518,17.949,5.503,2.254,6941.235848,79.28,9.6,0.986622691
Mauritius,25.2786,10.2,8.5,1.41,11208.22737,77.72,12.2,0.986769557
Jamaica,51.3186,16.103,7.573,1.979,5354.236859,75.993,10.8,0.986949801
Colombia,65.482,14.882,5.562,1.807,6718.585324,79.859,10.8,0.986992121
Brazil,57.8858,13.924,6.452,1.73,9001.234249,79.362,11.2,0.987006783
Ecuador,78.7626,19.719,5.109,2.427,6295.935399,79.645,10.7,0.987168789
El Salvador,68.6136,18.253,7.04,2.039,4067.659449,77.635,10.6,0.98736006
Mexico,59.4542,17.602,6.01,2.129,9673.443674,77.844,11.3,0.987900376
Armenia,20.886,13.987,9.857,1.755,4220.490277,78.354,9.8,0.988448441
Turkey,25.5558,16.027,5.412,2.069,9370.176355,80.336,8.6,0.98945576
Brunei Darussalam,9.7116,14.896,4.445,1.848,31628.32879,76.96,8.4,0.989602089
North Macedonia,15.162,10.811,10.051,1.496,6062.942604,77.736,6.4,0.989705324
Oman,12.6964,19.189,2.436,2.888,16414.88802,80.134,8.8,0.989790082
Argentina,62.5654,17.021,7.609,2.261,11683.94962,79.863,7.6,0.990525246
Kazakhstan,29.364,21.77,7.14,2.84,9812.601405,77.19,8,0.990982831
Georgia,45.1848,13.472,12.849,2.06,4722.787783,77.989,7.6,0.991141796
China,7.643,10.9,7.1,1.69,9976.676822,79.051,6.8,0.991372585
Thailand,44.6888,10.344,7.666,1.525,7295.475616,80.704,7.2,0.991502047
Albania,19.5724,11.78,7.898,1.617,5284.380184,80.167,7.6,0.99161613
Costa Rica,52.5186,13.971,5.078,1.754,12112.13442,82.73,7,0.991908193
Ukraine,23.0026,8.7,14.8,1.301,3096.817402,76.72,6.6,0.991950572
Kuwait,7.8858,13.939,2.696,2.082,33994.38192,76.467,6.3,0.992636442
Lebanon,14.2238,17.545,4.356,2.087,8024.803271,80.821,6.1,0.992652893
Malaysia,13.4668,16.752,5.09,2.001,11373.233,78.167,6.6,0.992780924
Uruguay,58.2386,13.857,9.467,1.973,17277.97011,81.359,5.7,0.992882013
Saudi Arabia,7.097,17.798,3.472,2.319,23338.96346,76.615,5.6,0.992914498
Sri Lanka,20.6904,15.831,6.651,2.199,4080.567125,80.121,5.7,0.992944837
Bahrain,13.239,13.99,2.385,1.987,23991.05668,78.285,5.9,0.99298358
Romania,35.535,9.6,13.5,1.76,12408.59649,79.2,5.6,0.993023455
United Arab Emirates,5.8868,10.331,1.47,1.413,43839.35635,79.164,5.8,0.993151426
Chile,40.1384,12.428,6.163,1.649,15924.79424,82.381,5.6,0.993211985
Russian Federation,19.6196,11.5,12.4,1.57,11370.81346,77.81,4.8,0.993247926
Bulgaria,39.3266,8.9,15.4,1.56,9423.558612,78.6,5.3,0.993381917
Qatar,9.5896,9.541,1.202,1.866,68793.78444,81.876,5.4,0.993384063
Malta,12.4966,9.2,7.6,1.23,30133.46617,84.6,5.6,0.993547559
Antigua and Barbuda,41.831,15.327,6.366,1.994,16726.98081,77.983,5.5,0.993889272
United States,18.5562,11.6,8.6,1.7295,62840.02024,81.1,5.1,0.993977547
Bosnia and Herzegovina,9.149,8.111,10.712,1.265,6072.180992,79.72,4.7,0.994669974
New Zealand,18.6046,11.98,6.86,1.71,42949.93058,83.6,3.7,0.994788885
Serbia,14.1444,9.2,14.6,1.49,7246.191986,78.4,4.3,0.994798243
Slovak Republic,25.9352,10.6,10,1.54,19428.11621,80.8,4.3,0.994823098
Canada,8.0346,10.1,7.7,1.4988,46313.17137,84.1,4,0.995293617
Croatia,8.2652,9,12.9,1.47,14920.19138,81.4,3.7,0.995676637
Greece,6.9376,8.1,11.2,1.35,20324.30501,84.4,3.2,0.99577564
Hungary,24.2756,9.6,13.4,1.55,16150.77276,79.6,3,0.995840311
Poland,10.1692,10.2,10.9,1.46,15460.64428,81.7,3.5,0.995873213
Lithuania,10.2026,10,14.1,1.63,19080.61737,80.7,3,0.995962739
United Kingdom,12.641,11,9.3,1.68,43043.22782,83.1,3.4,0.996090055
Denmark,4.169,10.6,9.5,1.73,61390.69301,82.9,2.9,0.99612993
Switzerland,2.6438,10,7.8,1.52,82818.10816,85.7,3.3,0.996162951
Latvia,15.8014,10,15,1.6,17805.28031,79.7,3,0.996171415
France,4.7362,11.3,9.2,1.88,41631.09074,85.9,3.3,0.996333301
Netherlands,3.7028,9.7,8.9,1.59,53048.09621,83.4,3.1,0.996459901
Israel,9.192,20.8,5,3.09,41719.72544,84.8,2.8,0.996483505
Germany,7.8568,9.5,11.5,1.57,47639.00344,83.3,3,0.99658531
Australia,11.3258,12.6,6.3,1.74,57395.91947,84.9,2.8,0.996598899
Ireland,7.0566,12.5,6.4,1.75,78621.22796,84.1,2.7,0.996619761
Belgium,4.5704,10.3,10.7,1.62,47491.32326,83.9,2.5,0.996668279
Portugal,8.0012,8.5,11,1.42,23461.57186,84.5,2.7,0.996676445
Austria,7.0444,9.7,9.5,1.47,51525.04643,84.1,2.6,0.996770203
Belarus,13.7516,9.9,12.7,1.448,6330.075246,79.4,2.3,0.996831417
"Korea, Rep.",1.3204,6.4,5.8,0.977,33340.26515,85.7,2.5,0.996970177
Czech Republic,11.9314,10.7,10.6,1.71,23046.94913,82,2.2,0.997096837
Italy,5.11,7.3,10.5,1.29,34520.08516,85.6,2.5,0.997105956
Spain,7.4904,7.9,9.1,1.26,30337.67913,86.3,2.4,0.997154593
Montenegro,8.781,11.732,10.682,1.745,8850.092733,79.199,2.1,0.997394085
Singapore,3.5134,8.8,5,1.14,66188.7794,85.4,1.9,0.997435927
Estonia,7.0988,10.9,11.9,1.67,23258.46758,82.7,1.8,0.997482836
Sweden,5.1226,11.4,9.1,1.76,54589.06039,84.3,2,0.997483909
Japan,3.6644,7.4,11,1.42,39159.42356,87.32,1.8,0.99756676
Norway,5.1048,10.4,7.7,1.56,81734.46557,84.5,1.8,0.997667313
Cyprus,4.4586,10.462,7.022,1.329,28689.70672,82.913,1.8,0.997707725
Luxembourg,4.6038,10.3,7.1,1.38,116654.2611,84.6,2.1,0.997724414
Slovenia,3.6524,9.4,9.9,1.6,26054.5421,84.4,1.6,0.997937918
Iceland,5.9066,12,6.4,1.71,72968.70423,84.5,1.5,0.998142123
Finland,5.6588,8.6,9.9,1.41,50021.29106,84.5,1.8,0.998333395